Experiment,Institution,Accession,SeedSource,LineType,Treatment,Facility,Rep,Flat,Row,Col,SowDate,seeds.sown,germinants.7d,germinants.14d,TransplantInfo,BoltDate,diameter.at.bolt,days.to.bolt,Germ.Bolting.Comments,inflorescence.height,mainbranch,ttl.maininfl.branch,basal.branch,branch.basalbranch,fruitnum,aborted.fruits,basalfruit.length,midfruit.length,upperfruit.length,avg.fruit.length,HarvestDate,HarvestInits,Harvest.Comments,Outlier1,Outlier2,Resolve?,SeeComments,Resolved?,Action
BC_Expt3pt6,BC,SALK_133245C,BC_SF11_0017,MUTANT,control,BC-GC1,1,1,A,1,5/24/2016,3,2,3,,6/27/2016,51.29,34,,14.3,2,2,3,7,79,66,14.44,14.58,11.65,13.56,8/3/2016,vv,,,,,,,
BC_Expt3pt6,BC,CS22617,BC_SF08_0255,PHYT,control,BC-GC1,1-1,1,A,2,5/24/2016,3,2,2,,7/2/2016,30.69,39,,2.3,0,0,2,2,0,11,,,,,8/3/2016,vv,Lots of algae,,,,,,
BC_Expt3pt6,BC,CS22636,BC_SF08_0294,PHYT,control,BC-GC1,1-1,1,A,3,5/24/2016,3,3,3,,6/27/2016,59.67,34,,14.9,1,2,4,8,113,123,9.22,10.27,5.92,8.47,8/3/2016,vv,,,,,,,
BC_Expt3pt6,BC,SALK_113099C,BC_SF10_0248,MUTANT,control,BC-GC1,1,1,A,4,5/24/2016,3,3,3,,6/30/2016,40.08,37,,33.0,2,6,2,4,87,117,11.31,10.39,11.28,10.99,8/3/2016,vv,,,,,,,
BC_Expt3pt6,BC,SALK_119083C,BC_SF10_0342,MUTANT,control,BC-GC1,1,1,A,5,5/24/2016,3,2,3,,6/28/2016,9.97,35,"will prob. die, very small",0.4,0,0,0,0,0,0,,,,,8/3/2016,vv,,,,Plant height less than 0.5 cm,,,HSC says to leave as is
BC_Expt3pt6,BC,SALK_110571C,BC_SF10_0213,MUTANT,control,BC-GC1,1,1,A,6,5/24/2016,3,2,2,,6/30/2016,61.19,37,,24.9,3,3,2,2,88,88,9.94,10.86,9.05,9.95,8/3/2016,vv,,,,,,,
BC_Expt3pt6,BC,SALK_110231C,BC_SF10_0210,MUTANT,control,BC-GC1,1,1,B,1,5/24/2016,3,3,3,,6/28/2016,51.87,35,,32.3,2,3,2,3,106,74,13.34,11.11,8.87,11.11,8/3/2016,vv,Lots of algae,,,,,,
BC_Expt3pt6,BC,SALK_108103C,BC_SF10_0176,MUTANT,control,BC-GC1,1,1,B,2,5/24/2016,3,3,3,,6/28/2016,65.33,35,,36.1,3,5,1,2,96,45,16.54,10.52,11.10,12.72,8/3/2016,vv,,,,,,,
BC_Expt3pt6,BC,SALK_114538C,BC_SF10_0271,MUTANT,control,BC-GC1,1,1,B,3,5/24/2016,3,2,2,,6/28/2016,44.34,35,,14.9,2,4,3,5,67,98,10.37,8.71,9.19,9.42,8/3/2016,vv,,,,,,,
BC_Expt3pt6,BC,SALK_109543C,BC_SF10_0202,MUTANT,control,BC-GC1,1,1,B,4,5/24/2016,3,3,3,,6/30/2016,61.19,37,,12.5,2,2,6,14,2,154,6.56,7.24,,6.90,8/3/2016,vv,,,,,,,
