BINOMIAL,GENUS,SPECIES,BELOW_SPECIES,Author,FAMILY,ORDER,Bold_Process_ID,matK_Accession,rbcLa_Accession,trnH_psbA_Accession,Collector,Collection_Date,Voucher_Institution
Acalypha bisetosa,Acalypha,bisetosa,,Bertero ex Spreng.,Euphorbiaceae,Malpighiales,PRTRE666-13,KJ012453,,,R.A. Muscarella-650,14-Mar-2012,US
Acnistus arborescens,Acnistus,arborescens,,(L.) Schltdl.,Solanaceae,Solanales,PRTRE308-13,,KJ082106,KJ426590,F. Axelrod-3922,02-Aug-1992,US
Acrocomia aculeata,Acrocomia,aculeata,,(Jacq.) Lodd. ex Mart.,Arecaceae,Arecales,PRTRE287-13,KJ012454,KJ082107,KJ426591,R.A. Muscarella-365,26-Jul-2011,US
Adelia ricinella,Adelia,ricinella,,L.,Euphorbiaceae,Malpighiales,PRTRE024-13,,AB267914.1,KJ426592,R.A. Muscarella-6,06-Mar-2011,US
Adenanthera pavonina,Adenanthera,pavonina,,L.,Fabaceae,Fabales,PRTRE122-13,,KJ082108,KJ426593,R.A. Muscarella-174,07-Oct-2011,US
Aegiphila martinicensis,Aegiphila,martinicensis,,Jacq.,Lamiaceae,Lamiales,PRTRE367-13,,KJ082109,KJ426594,C. Duckett-NA,02-Feb-1987,US
Aiphanes acanthophylla,Aiphanes,acanthophylla,,(Mart.) Burret,Arecaceae,Arecales,PRTRE196-13,KJ012455,KJ082110,KJ426595,R.A. Muscarella-412,30-Jul-2011,US
Albizia procera,Albizia,procera,,(Roxb.) Benth.,Fabaceae,Fabales,PRTRE008-13,KJ012456,KJ082111,KJ426596,R.A. Muscarella-121,07-Jul-2011,US
Allophylus crassinervis,Allophylus,crassinervis,,Radlk. f. crassinervis,Sapindaceae,Sapindales,PRTRE635-13,KJ012457,KJ082112,KJ426597,R.A. Muscarella-566,13-Feb-2012,US
Allophylus crassinervis,Allophylus,crassinervis,,Radlk.,Sapindaceae,Sapindales,PRTRE067-13,KJ012458,KJ082113,KJ426598,R.A. Muscarella-44,15-Jun-2011,US
Allophylus racemosus,Allophylus,racemosus,,Sw.,Sapindaceae,Sapindales,PRTRE020-13,KJ012459,KJ082114,KJ426599,R.A. Muscarella-37,15-Jun-2011,US
Alsophila bryophila,Alsophila,bryophila,,R. M. Tryon,Cyatheaceae,Cyatheales,PRTRE068-13,,KJ082115,KJ426600,R.A. Muscarella-33,06-Mar-2011,US
Alsophila portoricensis,Alsophila,portoricensis,,(Spreng. ex Kuhn) D. S. Conant,Cyatheaceae,Cyatheales,PRTRE045-13,,KJ082116,KJ426601,R.A. Muscarella-24,06-Oct-2011,US
Amphitecna latifolia,Amphitecna,latifolia,,(Mill.) A. H. Gentry,Bignoniaceae,Lamiales,PRTRE191-13,KJ012460,KJ082117,KJ426602,R.A. Muscarella-439,30-Jul-2011,US
Amyris elemifera,Amyris,elemifera,,L.,Rutaceae,Sapindales,PRTRE072-13,KJ012461,KJ082118,KJ426603,R.A. Muscarella-11,06-Mar-2011,US
Anadenanthera peregrina,Anadenanthera,peregrina,,(L.) Speg.,Fabaceae,Fabales,PRTRE144-13,,KJ082119,KJ426604,R.A. Muscarella-467,08-May-2011,US
Aniba bracteata,Aniba,bracteata,,(Nees) Urb.,Lauraceae,Laurales,PRTRE450-13,,FJ038067.1,,R.A. Howard-16598,15-Aug-1967,US
Annona glabra,Annona,glabra,,L.,Annonaceae,Magnoliales,PRTRE264-13,KJ012462,KJ082120,KJ426605,R.A. Muscarella-293,18-Jul-2011,US
Annona montana,Annona,montana,,Macfad.,Annonaceae,Magnoliales,PRTRE381-13,,KJ082121,KJ426606,Daniel Atha -800,02-Aug-1994,US
Annona montana,Annona,montana,,Macfad.,Annonaceae,Magnoliales,PRTRE142-13,KJ012463,KJ082122,KJ426607,R.A. Muscarella-488,08-Dec-2011,US
Ardisia glauciflora,Ardisia,glauciflora,,Urb.,Primulaceae,Ericales,PRTRE452-13,KJ012464,KJ082123,,R.A. Muscarella-110,07-Mar-2011,US
Ardisia luquillensis,Ardisia,luquillensis,,(Britton) Alain,Primulaceae,Ericales,PRTRE145-13,KJ012465,KJ082124,KJ426608,R.A. Muscarella-445,30-Jul-2011,US
Ardisia obovata,Ardisia,obovata,,Ham.,Primulaceae,Ericales,PRTRE273-13,KJ012466,KJ082125,KJ426609,R.A. Muscarella-240,16-Jul-2011,US
Ardisia obovata,Ardisia,obovata,,Desv. ex Ham.,Primulaceae,Ericales,PRTRE607-13,KJ012467,KJ082126,,R.A. Muscarella-550,13-Feb-2012,US
Avicennia germinans,Avicennia,germinans,,(L.) L.,Acanthaceae,Lamiales,PRTRE243-13,,KJ082127,KJ426610,R.A. Muscarella-296,18-Jul-2011,US
