id,observed_on,time_observed_at,time_zone,created_at,description,captive_cultivated,place_guess,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
80734,2012-05-18,,Eastern Time (US & Canada),2012-05-20 03:33:37 UTC,"",false,"Ohio, US",41.4137258546,-83.8341973599,,obscured,true,,Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
244385,2012-05-08,2012-05-08 15:40:23 UTC,Eastern Time (US & Canada),2013-04-24 20:44:48 UTC,"",false,"Michigan, US",42.4051219055,-86.055255964,obscured,obscured,true,,Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
557666,2013-06-16,2013-06-16 19:45:28 UTC,Central Time (US & Canada),2014-03-08 13:46:52 UTC,"A federally endgangered species.
Canoe Landing Prairie State Natural Area, Eau Claire Co., WI",false,"Wisconsin, US",44.7763355581,-90.8878449368,,obscured,true,"",Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
846948,2014-08-24,2014-08-24 18:29:23 UTC,Central Time (US & Canada),2014-08-25 04:20:06 UTC,"A federally endangered species.
Coon Fork Barrens State Natural Area, Eau Claire Co., WI",false,"Wisconsin, US",44.6396177578,-91.0784104605,,obscured,true,"",Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
1727974,2015-07-05,,Eastern Time (US & Canada),2015-07-06 03:54:17 UTC,In preserve/habitat managed specifically for this species that has been at this location every summer with 2 witnessed broods. This is the emerging second brood for 2015.,false,"New York, US",43.0684594106,-73.7361113993,,obscured,true,,Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
3385081,2016-06-02,2016-06-02 14:50:41 UTC,Central Time (US & Canada),2016-06-05 06:27:59 UTC,"Necedah National Wildlife Refuge, WI",false,"Wisconsin, US",44.0229069934,-90.0468328333,,obscured,true,"",Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
3385141,2016-06-02,2016-06-02 16:53:09 UTC,Central Time (US & Canada),2016-06-05 06:43:40 UTC,"Necedah National Wildlife Refuge, WI",false,"Wisconsin, US",44.0218316147,-90.1832869751,,obscured,true,"",Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
3396460,2016-06-06,2016-06-06 15:01:27 UTC,Eastern Time (US & Canada),2016-06-06 20:45:16 UTC,,false,"Michigan, US",43.4866204282,-85.67677761,,obscured,true,,Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
3743937,2016-06-09,2016-06-09 20:50:00 UTC,Hawaii,2016-07-25 16:06:30 UTC,,false,"Michigan, US",43.5381428602,-85.7243128609,,obscured,true,,Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
3927923,2016-07-15,2016-07-15 17:10:00 UTC,Central Time (US & Canada),2016-08-20 23:59:12 UTC,                               ,false,"Wisconsin, US",44.0608928074,-90.1659004786,,obscured,true,,Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
3947709,2016-07-19,2016-07-19 18:54:18 UTC,Eastern Time (US & Canada),2016-08-23 17:37:26 UTC,Was sitting on some grasses in the Manistee National Forest. Photo was taken during the Karner Blue Butterfly survey. ,false,"Michigan, US",43.4586496659,-86.3697095926,,obscured,true,,Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
4014358,2016-09-01,2016-09-01 18:13:00 UTC,Pacific Time (US & Canada),2016-09-02 00:52:43 UTC,,false,"Wisconsin, US",44.0803669741,-90.1093588538,,obscured,true,,Karner Blue,Plebejus samuelis,Karner Blue,Insecta,484122
